Categoría;Sexo;Tipo de Eliminatoria;Mínimo;Maximo de Puntos;Fuente
Arco Compuesto;Hombre;Round;136;150;https://www.ianseo.net/TourData/2022/10068/IBCU15M.pdf?time=2022-02-18+11%3A54%3A19
;Mujer;Round;SD;150;SD
Arco Olímpico;Hombre;Set;27;30;https://www.ianseo.net/TourData/2022/10068/IBRU15M.pdf?time=2022-02-18+12%3A00%3A54
;Mujer;Set;28;30;https://www.ianseo.net/TourData/2022/10068/IBRU15W.pdf?time=2022-02-18+11%3A49%3A05
