Categoría;Sexo;Tipo de Eliminatoria;Mínimo;Maximo de Puntos;Fuente
Arco Compuesto;Hombre;Round;;150;
;Mujer;Round;;150;
Arco Olímpico;Hombre;Set;;30;
;Mujer;Set;;30;
