Categoría;Sexo;Tipo de Eliminatoria;Mínimo;Maximo de Puntos;Fuente
Arco Compuesto;Hombre;Round;140;150;https://www.ianseo.net/TourData/2022/10971/IBCU21M.php
;Mujer;Round;131;150;https://www.ianseo.net/TourData/2022/10756/IBCU21W.php
Arco Olímpico;Hombre;Set;24;30;https://www.ianseo.net/TourData/2022/10971/IBRU21M.php
;Mujer;Set;25;30;https://www.ianseo.net/TourData/2022/10971/IBRU21W.php
