Categoría;Sexo;Tipo de Eliminatoria;Mínimo;Maximo de Puntos;Fuente
Arco Compuesto;Hombre;Round;140;150;https://www.ianseo.net/TourData/2022/10971/IBCU18M.php
;Mujer;Round;135;150;https://www.ianseo.net/TourData/2022/10971/IBCU18W.php
Arco Olímpico;Hombre;Set;27;30;https://www.ianseo.net/TourData/2022/10971/IBRU18M.php
;Mujer;Set;26;30;https://www.ianseo.net/TourData/2022/10971/IBRU18W.php
