Categoría;Sexo;Tipo de Eliminatoria;Mínimo;Maximo de Puntos;Fuente
Arco Compuesto;Hombre;Round;127;150;https://www.ianseo.net/TourData/2022/10971/IBCU15M.php
;Mujer;Round;SD;150;SD
Arco Olímpico;Hombre;Set;27;30;https://www.ianseo.net/TourData/2022/10971/IBRU15M.php
;Mujer;Set;25;30;https://www.ianseo.net/TourData/2022/10971/IBRU15W.php
